listing_id,name,price,latitude,longitude,accommodates,bathrooms,bedrooms,num_beds,rating_accuracy,rating_cleanliness,rating_communication,rating_location,rating_value,review_score_average,price_per_person,amenities_count,Quarter_Or_City
1851779,Pvt Room + Pvt Bath + Pvt Mini-Ktch,79,42.36038023,-71.10769169,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,39.5,11,Cambridge
3798203,Cozy Room. Safe and Convenient Area,53,42.36521932,-71.03564415,2,1,1,1,4,4.0,5.0,4.5,4.5,4.5,26.5,3,East Boston
4151933,3BR Furnished Single Family Home,200,42.39046022,-71.11543953,6,1,3,3,0,,,,,4.694469026548672,33.333333333333336,13,Somerville
1670635,"Convenience, Comfort and Value!",155,42.38338986,-71.08575163,5,1,2,4,5,5.0,5.0,4.5,5.0,4.9,31.0,8,Somerville
3725631,Private Rm & Bath in Modern Condo,135,42.33939941,-71.05335361,2,1,1,1,5,5.0,5.0,4.5,5.0,4.9,67.5,12,South Boston
2748056,Private room and bathroom ,210,42.40489316,-71.08163125,3,1,1,1,5,5.0,5.0,5.0,5.0,5.0,70.0,19,Medford
1327725,Modern 2 BR in Brighton,140,42.34566831,-71.13921858,4,1,2,2,5,5.0,5.0,4.5,4.5,4.8,35.0,13,Brighton
1525494,BRIGHT 'N CHEERY QUIET ROOM BOSTON ,65,42.35524225,-71.13547457,2,2,1,1,4,4.0,4.5,4.5,4.5,4.3,32.5,11,Allston
2206750,"Sunny, private & newly renovated   ",180,42.3735668,-71.17238853,3,1,1,1,5,5.0,5.0,4.5,5.0,4.9,60.0,16,Watertown
3725192,Cozy room with private bath,110,42.36652027,-71.17908087,2,1,1,1,5,5.0,5.0,4.5,4.5,4.8,55.0,12,Watertown
2862098,2 1/2 bd with porch close to Boston,115,42.36692473,-71.18700604,5,1,2,3,0,,,,,4.694469026548672,23.0,11,Watertown
3478151,Your room next to Cambridge& Boston,90,42.36643762,-71.16593796,2,1,1,1,5,5.0,5.0,5.0,4.5,4.9,45.0,7,Watertown
1428433,Sharing my apartment in  Watertown ,50,42.36381036,-71.17173321,2,1,1,1,5,5.0,4.5,4.5,5.0,4.8,25.0,9,Watertown
3944677,Bedroom w/ private bath ,50,42.36267991,-71.18874624,1,1,1,1,0,,,,,4.694469026548672,50.0,11,Watertown
